file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-1/customer.parquet,0,0,1,3,600355,278816,151424,1048576,18928,131072,1131
/dev/shm/with_compression/parquet-1/customer.parquet,0,1,1,2,101,94066,0,600000,0,150000,139
/dev/shm/with_compression/parquet-1/customer.parquet,0,2,1,3,791450,315936,77696,1122304,9712,140288,1151
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,0,1,7,1338447,1109539,4186112,4202496,523264,525312,4060
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,0,1,7,1339608,1117606,4194304,4194304,524288,524288,4029
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,0,1,7,1340708,1112196,4194304,4194304,524288,524288,4046
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,0,1,7,1337838,1122069,4177920,4210688,522240,526336,4027
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,0,1,7,1338494,1114016,4186112,4202496,523264,525312,4038
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,0,1,5,886935,1113800,1872376,4194304,234047,524288,2627
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,1,1,9,4542066,481985,6676480,1712128,834560,214016,6286
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,1,1,9,4542261,481990,6676480,1712128,834560,214016,6291
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,1,1,9,4542901,481986,6676480,1712128,834560,214016,6286
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,1,1,9,4547050,479678,6684672,1703936,835584,212992,6298
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,1,1,9,4545852,479683,6684672,1703936,835584,212992,6302
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,1,1,7,3179230,481984,4354552,1712128,544319,214016,4561
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,2,1,3,40076,1837201,0,8388608,0,1048576,1125
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,2,1,3,40096,1837201,0,8388608,0,1048576,1075
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,2,1,3,40093,1837201,0,8388608,0,1048576,1084
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,2,1,3,40106,1837201,0,8388608,0,1048576,1085
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,2,1,3,40080,1837201,0,8388608,0,1048576,1077
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,2,1,3,40116,1328681,0,6066680,0,758335,833
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,3,1,2,40,251059,0,8388608,0,1048576,700
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,3,1,2,40,250648,0,8388608,0,1048576,710
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,3,1,2,40,251353,0,8388608,0,1048576,700
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,3,1,2,40,250899,0,8388608,0,1048576,692
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,3,1,2,40,250897,0,8388608,0,1048576,697
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,3,1,2,40,181309,0,6066680,0,758335,525
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,4,1,2,212,788565,0,8388608,0,1048576,832
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,4,1,2,215,788565,0,8388608,0,1048576,826
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,4,1,2,211,788565,0,8388608,0,1048576,832
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,4,1,2,215,788565,0,8388608,0,1048576,828
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,4,1,2,214,788565,0,8388608,0,1048576,835
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,4,1,2,218,570296,0,6066680,0,758335,631
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,5,1,9,5972278,322850,7241728,1146880,905216,143360,6755
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,5,1,9,5971408,322860,7241728,1146880,905216,143360,6780
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,5,1,9,5972735,322859,7241728,1146880,905216,143360,6820
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,5,1,9,5970949,322854,7241728,1146880,905216,143360,6846
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,5,1,9,5970286,322860,7241728,1146880,905216,143360,6827
/dev/shm/with_compression/parquet-1/lineitem.parquet,5,5,1,7,4300725,322867,4919800,1146880,614975,143360,5031
/dev/shm/with_compression/parquet-1/lineitem.parquet,0,6,1,2,70,526409,0,8388608,0,1048576,807
/dev/shm/with_compression/parquet-1/lineitem.parquet,1,6,1,2,70,526409,0,8388608,0,1048576,796
/dev/shm/with_compression/parquet-1/lineitem.parquet,2,6,1,2,65,526409,0,8388608,0,1048576,806
/dev/shm/with_compression/parquet-1/lineitem.parquet,3,6,1,2,71,526409,0,8388608,0,1048576,798
/dev/shm/with_compression/parquet-1/lineitem.parquet,4,6,1,2,70,526409,0,8388608,0,1048576,803
